original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
We Own the Night,tt0498399,2007-10-09,55033767,118,66.77,en,Drama,Crime,Thriller,,,,,,,2007,10
Elizabeth: The Golden Age,tt0414055,2007-09-09,74237563,114,67.17,en,Drama,History,Romance,,,,,,,2007,09
Michael Clayton,tt0465538,2007-07-12,92991835,120,67.52,en,Drama,Thriller,Mystery,Crime,,,,,,2007,07
Sleuth,tt0857265,2007-10-12,342835,86,62.629999999999995,en,Drama,Mystery,Thriller,,,,,,,2007,10
Lars and the Real Girl,tt0805564,2007-10-12,11293663,106,71.55,en,Comedy,Drama,Romance,,,,,,,2007,10
30 Days of Night,tt0389722,2007-10-17,75505973,113,63.8,en,Horror,Thriller,,,,,,,,2007,10
Rendition,tt0804522,2007-09-07,24748670,120,64.61,en,Drama,Thriller,,,,,,,,2007,09
Things We Lost in the Fire,tt0469623,2007-09-26,2849142,113,65.45,en,Drama,,,,,,,,,2007,09
Reservation Road,tt0831884,2007-09-13,0,102,65.0,en,Drama,Crime,Thriller,,,,,,,2007,09
Gone Baby Gone,tt0452623,2007-06-06,34619699,113,73.0,en,Crime,Drama,Mystery,,,,,,,2007,06
The Comebacks,tt0790804,2007-10-19,0,107,48.769999999999996,en,Comedy,,,,,,,,,2007,10
Weirdsville,tt0758798,2007-10-12,0,90,59.0,en,Drama,Action,Comedy,,,,,,,2007,10
Straightheads,tt0480011,2007-04-27,0,88,50.620000000000005,en,Thriller,,,,,,,,,2007,04
The Assassination of Jesse James by the Coward Robert Ford,tt0443680,2007-09-07,14711793,160,70.62,en,Action,Drama,Western,,,,,,,2007,09
בופור,tt0758732,2007-02-02,0,131,66.72,he,History,Drama,,,,,,,,2007,02
The Killing Floor,tt0756672,2007-05-10,0,94,53.03,en,Crime,Thriller,Horror,,,,,,,2007,05
Irina Palm,tt0762110,2007-02-13,0,103,69.85000000000001,en,Drama,,,,,,,,,2007,02
The Final Season,tt0449018,2007-10-12,0,119,52.0,en,Drama,,,,,,,,,2007,10
Persepolis,tt0808417,2007-06-27,0,95,79.19,fr,Animation,Drama,,,,,,,,2007,06
Control,tt0421082,2007-09-26,8159508,121,75.49000000000001,en,Drama,,,,,,,,,2007,09
The Jane Austen Book Club,tt0866437,2007-09-09,7163566,106,65.83,en,Comedy,Romance,,,,,,,,2007,09
Fugitive Pieces,tt0765451,2007-09-06,843945,104,61.17,en,Drama,,,,,,,,,2007,09
Outlaw,tt0758771,2007-03-09,0,103,53.2,en,Action,Crime,Thriller,,,,,,,2007,03
Silk,tt0494834,2007-09-14,0,107,57.56,en,Drama,Romance,,,,,,,,2007,09
Manufacturing Dissent,tt0961117,2007-02-11,0,97,57.0,en,Documentary,,,,,,,,,2007,02
Auf der anderen Seite,tt0880502,2007-09-27,17804565,122,72.06,de,Drama,,,,,,,,,2007,09
Why Did I Get Married?,tt0906108,2007-10-12,55184721,113,64.0,en,Comedy,Drama,,,,,,,,2007,10
Saw IV,tt0890870,2007-10-25,139352633,96,61.48,en,Horror,Thriller,Crime,,,,,,,2007,10
My Mom's New Boyfriend,tt0780534,2008-04-30,0,97,53.03,en,Action,Comedy,,,,,,,,2008,04
For the Bible Tells Me So,tt0912583,2007-10-05,312751,98,72.0,en,Documentary,,,,,,,,,2007,10
Full of It,tt0446752,2007-03-01,859513,91,52.68,en,Comedy,Family,Drama,,,,,,,2007,03
My Kid Could Paint That,tt0912592,2007-10-05,0,82,70.0,en,Documentary,,,,,,,,,2007,10
밀양,tt0817225,2007-05-17,11581469,142,70.8,ko,Drama,,,,,,,,,2007,05
Tropa de Elite,tt0861739,2007-10-12,14759148,115,80.58999999999999,pt,Drama,Action,Crime,,,,,,,2007,10
King of California,tt0388182,2007-01-24,1045786,93,64.79,en,Comedy,Drama,,,,,,,,2007,01
Martian Child,tt0415965,2007-11-02,9411042,106,66.56,en,Comedy,Drama,,,,,,,,2007,11
American Gangster,tt0765429,2007-11-02,266465037,157,75.77,en,Drama,Crime,,,,,,,,2007,11
Bee Movie,tt0389790,2007-10-28,287594577,91,60.0,en,Family,Animation,Adventure,Comedy,,,,,,2007,10
Before the Devil Knows You're Dead,tt0292963,2007-09-26,25005257,117,71.0,en,Crime,Drama,Thriller,,,,,,,2007,09
Le scaphandre et le papillon,tt0401383,2007-05-23,19777647,112,75.67999999999999,fr,Drama,History,,,,,,,,2007,05
No Country for Old Men,tt0477348,2007-06-13,171627166,122,79.0,en,Crime,Drama,Thriller,,,,,,,2007,06
Be Kind Rewind,tt0799934,2008-01-20,30600000,102,62.699999999999996,en,Drama,Comedy,,,,,,,,2008,01
Itty Bitty Titty Committee,tt0496328,2007-09-28,18479,87,54.14,en,Comedy,,,,,,,,,2007,09
Crazy Love,tt0790706,2007-11-22,0,92,65.36,en,Documentary,Romance,,,,,,,,2007,11
August Rush,tt0426931,2007-11-21,66122026,114,73.92999999999999,en,Family,Drama,Music,,,,,,,2007,11
Du levande,tt0445336,2007-09-21,1843810,95,70.9,sv,Drama,Comedy,Music,,,,,,,2007,09
The Man from Earth,tt0756683,2007-06-10,0,87,76.25,en,Science Fiction,Drama,,,,,,,,2007,06
Lions for Lambs,tt0891527,2007-10-22,63215872,92,60.330000000000005,en,Action,Adventure,Drama,History,,,,,,2007,10
Fred Claus,tt0486583,2007-11-03,97838349,116,57.67,en,Action,Comedy,Drama,,,,,,,2007,11
Beowulf,tt0442933,2007-11-05,195735876,115,58.68000000000001,en,Adventure,Action,Animation,,,,,,,2007,11
Mr. Magorium's Wonder Emporium,tt0457419,2007-11-14,69474661,93,62.24,en,Family,Fantasy,Comedy,,,,,,,2007,11
Love in the Time of Cholera,tt0484740,2007-10-04,4607608,139,66.24,en,Drama,Romance,,,,,,,,2007,10
Rails & Ties,tt0822849,2007-09-01,22136,101,64.63,en,Drama,,,,,,,,,2007,09
Darfur Now,tt0988102,2007-09-09,0,98,54.0,en,Crime,Documentary,,,,,,,,2007,09
Smiley Face,tt0780608,2007-11-16,179381,84,60.11,en,Comedy,,,,,,,,,2007,11
12,tt0488478,2007-06-06,7537453,159,72.35000000000001,ru,Crime,Drama,Mystery,,,,,,,2007,06
XXY,tt0995829,2007-06-14,0,86,68.0,es,Drama,,,,,,,,,2007,06
The Mist,tt0884328,2007-11-21,57470220,126,68.77,en,Horror,Science Fiction,Thriller,,,,,,,2007,11
Enchanted,tt0461770,2007-11-20,340487652,107,68.01,en,Comedy,Family,Fantasy,Romance,,,,,,2007,11
Hitman,tt0465494,2007-11-21,99965753,89,60.76,en,Action,Thriller,Drama,,,,,,,2007,11
