,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,,,,,,,tt0113089,Domestic,"Jun 2, 1995","$1,435,709","$3,987,768",,,,,
0,Original Release,"March 17, 1995",Domestic,"$1,573,411",–,"$1,573,411",tt0109771,,,,,,,,,
0,,,,,,,tt0113199,Domestic,"May 12, 1995","$1,591,229","$3,941,146",,,,,
0,,,,,,,tt0110057,Domestic,"Oct 14, 1994","$18,396","$7,830,611",,,,,
0,,,,,,,tt0110005,Domestic,"Nov 16, 1994","$31,592","$3,049,135",,,,,
0,,,,,,,tt0110066,Domestic,"Jan 6, 1995","$5,831,302","$26,325,256",,,,,
0,,,,,,,tt0110116,Domestic,"Dec 16, 1994","$120,108","$9,914,409",,,,,
0,,,,,,,tt0110006,Domestic,"Feb 17, 1995","$6,062,857","$17,689,177",,,,,
0,,,,,,,tt0113360,Domestic,"Feb 24, 1995","$2,723,495","$6,609,661",,,,,
0,,,,,,,tt0110099,Domestic,"Dec 25, 1994","$3,131,201","$26,381,221",,,,,
0,,,,,,,tt0110148,Domestic,"Nov 11, 1994","$36,389,705","$105,264,608",,,,,
0,,,,,,,tt0113463,Domestic,"Mar 31, 1995","$61,349","$2,473,668",,,,,
0,,,,,,,tt0110189,Domestic,"Feb 3, 1995","$4,392,403","$7,557,877",,,,,
0,,,,,,,tt0110216,Domestic,"Nov 23, 1994","$9,803,145","$36,763,355",,,,,
0,,,,,,,tt0113501,Domestic,"Feb 17, 1995","$10,607,932","$36,853,222",,,,,
0,,,,,,,tt0113538,Domestic,"Aug 11, 1995","$4,315,310","$13,406,717",,,,,
0,,,,,,,tt0113552,Domestic,"Apr 21, 1995","$5,317,066","$14,942,422",,,,,
0,Original Release,"May 25, 1977",Domestic,"$307,263,857",–,"$307,263,857",tt0076759,,,,,,,,,
0,,,,,,,tt0110367,Domestic,"Dec 21, 1994","$2,411,247","$50,083,616",,,,,
0,,,,,,,tt0113670,Domestic,"May 12, 1995","$28,612","$10,015,449",,,,,
0,,,,,,,tt0110296,Domestic,"Oct 6, 1994",–,"$152,457",,,,,
0,Original Release,"February 19, 1993",Domestic,"$21,665,468",–,"$21,665,468",tt0103994,,,,,,,,,
0,Original Release,"December 23, 1994",Domestic,"$66,638,883",–,"$66,638,883",tt0110322,,,,,,,,,
0,,,,,,,tt0110443,Domestic,"Mar 24, 1995","$7,011,225","$29,412,050",,,,,
0,,,,,,,tt0107566,Domestic,"Jul 15, 1994",–,"$3,267,313",,,,,
0,,,,,,,tt0110391,Domestic,"Oct 21, 1994","$5,438,758","$18,272,894",,,,,
0,,,,,,,tt0113691,Domestic,"Mar 17, 1995","$2,520,972","$7,603,766",,,,,
0,,,,,,,tt0110428,Domestic,"Dec 30, 1994","$65,226","$15,238,689",,,,,
0,,,,,,,tt0109836,Domestic,"Nov 4, 1994","$11,212,889","$22,006,296",,,,,
0,,,,,,,tt0113755,Domestic,"Mar 3, 1995","$9,473,317","$40,070,995",,,,,
0,,,,,,,tt0110538,Domestic,"Dec 21, 1994","$2,307,850","$6,821,850",,,,,
0,,,,,,,tt0110516,Domestic,"Sep 2, 1994","$5,846,533","$18,137,661",,,,,
0,Original Release,"November 18, 1994",Domestic,"$17,320,136",–,"$17,320,136",tt0110527,,,,,,,,,
0,,,,,,,tt0113808,Domestic,"Jan 27, 1995","$71,421","$5,221,281",,,,,
0,,,,,,,tt0113896,Domestic,"May 5, 1995","$2,164,840","$11,079,373",,,,,
0,,,,,,,tt0113870,Domestic,"Jan 20, 1995","$4,719,188","$17,381,942",,,,,
0,,,,,,,tt0110684,Domestic,"Dec 23, 1994","$92,838","$39,491,975",,,,,
0,,,,,,,tt0110638,Domestic,"Dec 16, 1994","$62,663","$33,683,817",,,,,
0,,,,,,,tt0113967,Domestic,"Apr 21, 1995","$1,395,028","$3,565,508",,,,,
0,,,,,,,tt0117169,,,,,Tôru Murakawa,Director,,,
0,,,,,,,tt0106402,,,,,Vadim Jean,Director,,,
0,,,,,,,tt0110671,,,,,Alan Jacobs,Director,,,
0,Original Release,"August 26, 1994",Domestic,"$50,282,766",–,"$50,282,766",tt0110632,,,,,,,,,
0,,,,,,,tt0110737,Domestic,"Oct 7, 1994","$5,711,738","$20,059,210",,,,,
0,,,,,,,tt0110729,Domestic,"Mar 3, 1995",–,"$1,608,570",,,,,
0,,,,,,,tt0114151,,,,,Anne Goursaud,Director,,,
0,,,,,,,tt0114069,Domestic,"Mar 10, 1995","$13,420,387","$67,659,560",,,,,
0,Original Release,"November 18, 1994",Domestic,"$19,501,238",–,"$19,501,238",tt0110413,,,,,,,,,
0,,,,,,,tt0114113,Domestic,"May 12, 1995","$1,127,645","$2,832,826",,,,,
0,,,,,,,tt0114210,Domestic,"Apr 28, 1995","$268,932","$345,972",,,,,
0,Original Release,"October 14, 1994",Domestic,"$107,928,762",–,"$107,928,762",tt0110912,,,,,,,,,
0,,,,,,,tt0105652,Domestic,"Jun 2, 1995","$9,567","$152,322",,,,,
0,,,,,,,tt0110889,Domestic,"Mar 24, 1995","$113,430","$4,165,845",,,,,
0,,,,,,,tt0110932,Domestic,"Sep 16, 1994","$757,714","$24,822,619",,,,,
0,,,,,,,tt0114129,Domestic,"Apr 28, 1995","$44,380","$1,238,905",,,,,
0,Original Release,"December 9, 1994",Domestic,"$1,292,232",–,"$1,292,232",tt0110963,,,,,,,,,
0,,,,,,,tt0114214,Domestic,"Feb 10, 1995","$6,515,861","$18,636,537",,,,,
0,,,,,,,tt0114296,Domestic,"Mar 3, 1995","$4,038,033","$12,096,881",,,,,
0,,,,,,,tt0110907,Domestic,"Dec 25, 1994","$2,026,295","$11,300,653",,,,,
0,Original Release,"December 1, 1994",Domestic,"$3,581,969",–,"$3,581,969",tt0111495,,,,,,,,,
0,Original Release,"November 30, 1993",Domestic,"$1,324,974",–,"$1,324,974",tt0108394,,,,,,,,,
0,Original Release,"June 10, 1994",Domestic,"$1,237,219",–,"$1,237,219",tt0111507,,,,,,,,,
0,,,,,,,tt0114268,,,,,Fred Gerber,Director,,,
0,,,,,,,tt0110965,,,,,George Mihalka,Director,,,
0,,,,,,,tt0114571,Domestic,"Apr 14, 1995","$371,898","$912,082",,,,,
0,,,,,,,tt0111333,Domestic,"Nov 18, 1994","$2,445,155","$9,771,658",,,,,
0,,,,,,,tt0111112,Domestic,"Feb 3, 1995","$82,601","$6,159,269",,,,,
0,,,,,,,tt0111255,Domestic,"Oct 7, 1994","$14,317,765","$57,362,582",,,,,
0,,,,,,,tt0111282,Domestic,"Oct 28, 1994","$16,651,018","$71,567,262",,,,,
0,Original Release,"November 11, 1994",Domestic,"$144,833,357",–,"$144,833,357",tt0111070,,,,,,,,,
0,Original Release,"September 23, 1994",Domestic,"$28,341,469",–,"$28,341,469",tt0111161,,,,,,,,,
0,,,,,,,tt0111149,Domestic,"Feb 10, 1995","$105,614","$2,079,569",,,,,
0,,,,Domestic,,,tt0108260,,,,,,,,"$102,780",12215.0
