,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,,,,,tt1054118,,,,,,,James Chressanthis,Director,,,,
0,,,,,tt1683463,,,,,,,Joseph Mantegna,Director,,,,
0,,,,,tt1422729,,,,,,,Joseph Mantegna,Director,,,,
0,,,,,tt2070793,,,,,,,Matt Kendall,Director,,,,
0,,,,,tt5069996,,,,,,,J. Lazarus Auerbach,Director,,,,
0,,,,,tt4162992,,,,,,,Chad Kapper,Director,,,,
0,,,,,tt1954214,,,,,,,Christopher E. Grimes,Director,,,,
0,,,,,tt6608138,,,,,,,Sigrid Andrea Bernardo,Director,,,,
0,Russia/CIS,"Aug 22, 2013","$8,107","$16,532",tt1934194,,,,,,,,,,,,
0,Philippines,"Jul 1, 2015","$1,729,735","$3,255,057",tt4628812,,,,,,,,,,,,
0,Domestic,"Sep 15, 2017","$2,154","$3,259",tt5143890,,,,,,,,,,,,
0,Australia,"Nov 15, 2007","$4,809","$30,772",tt0818897,,,,,,,,,,,,
0,,,,,tt7291268,,,,,,,Chris Moukarbel,Director,,,,
0,,,,,tt0458072,Original Release,"April 5-January 11, 2008",8 markets,"$761,740","$2,316,969","$3,078,709",,,,,,
0,Domestic,"Nov 10, 2017","$10,841","$147,391",tt6304046,,,,,,,,,,,,
0,Domestic,"Oct 13, 2017","$45,677","$527,845",tt6573444,,,,,,,,,,,,
0,,,,,tt3346766,Original Release,"December 5-August 7, 2014","LATAM, EMEA",–,"$647,441","$647,441",,,,,,
0,,,,,tt2088950,,,,,,,Giancarlo Esposito,Director,,,,
0,Hungary,"Oct 19, 2017","$39,971","$100,421",tt5689068,,,,,,,,,,,,
0,,,,,tt1662500,,,,,,,Anthony Stabley,Director,,,,
0,,,,,tt4173306,,,,,,,Matt Mitchell,Director,,,,
0,,,,,tt3532278,Original Release,"December 24, 2015-June 23, 2017",EMEA,–,"$3,444,978","$3,444,978",,,,,,
0,,,,,tt6777056,Original Release,"August 3-April 5, 2018","EMEA, APAC",–,"$99,610","$99,610",,,,,,
0,Domestic,"Feb 10, 2017","$774,355","$1,654,254",tt5982852,,,,,,,,,,,,
0,Domestic,"Mar 23, 2018","$3,055","$8,915",tt6776572,,,,,,,,,,,,
